congress_or_senate,cong_number,bill_title,aauw_yes_or_no,bill_id,Vote no.,Voteview Vote no.,legislation related to women's issues (0 or 1),other_info,vote_date,yea_votes,nay_votes,legislation purpose (bold = directly relating to women's issues)
senate,97,National Endowment for the Arts/Humanities Appropriations (FY82),yes,H.R.4035,Record Vote No: 337,,0,,,,,endowment for NEA and NEH
senate,97,FY82 Budget Reconciliation,no,H.R.3982,Record Vote No: 247,,0,,,,,additional cuts in entitlement programs
senate,97,Social Security (Minimum Benefit),yes,H.R. 4331,Record Vote No: 486,,0,,,,,restore minimum social security benefit (76% of recipients were women)
senate,97,MX (Defense Appropriations FY82),yes,S.Up.Amdt.736 to H.R.4995,Record Vote No: 445,,0,,,,,delete $354 million from DOD appropriations (money was earmarked for MX missile)
senate,97,Food Stamps (Leahy Amendment),yes,S.Up.Amdt.147 to S.1007,Record Vote No: 145,,0,,,,,adjust the ceiling on federal food stamp spending with unemployment & inflation in food prices (69% of Food Stamp recipients were women)
senate,97,Child Nutrition,yes,S.Up.Amdt.128 to H.R.3512,Record Vote No: 133,,0,,,,,"additional funding for Women, Infant and Children food program"
senate,97,Foreign Assistance Appropriations (FY82),yes,S.1802,Record Vote No: 383,,0,,,,,foreign assistance appropriations (included funding for UN Decade for Women Voluntary Fund)
senate,97,Student Loans,yes,S.Up.Amdt.678 to H.J.Res.357,Record Vote No: 412,,0,,,,,financial aid for students
senate,97,Legal Services Coorperation,no,S.Up.Amdt.72 to S.Con.Res.19,Record Vote No: 91,,0,,,,,remove funding for Legal Services Corperation (67% of LSC clients are women)
congress,97,National Endowment for the Arts/Humanities (Department of Interior Appropriations FY82),yes,H.R.4035,Record Vote No: 153,144,0,,07/22/1981,358,46,endowment for NEA and NEH
congress,97,FY82 Budget Reconciliation,no,H.R. 3982,Record Vote No: 111,102,0,,06/26/1981,217,211,additional cuts in entitlement programs
congress,97,Social Security (Minimum Benefit),yes,H.R. 4331,Record Vote No: 189,178,0,,7/31/1981,404,20,restore minimum social security benefit (76% of recipients were women)
congress,97,MX (Defense Department Authorization FY82),yes,H.Amdt.85 to H.R.3519,Record Vote No: 117,108,0,,07/09/1981,201,207,prohibit expenditure of funds on MX missile program
congress,97,Food Stamps,no,H.Amdt.351 to H.R.3603,Record Vote No: 274,260,0,,10/22/1981,147,251,require food stamp recipients to pay for a portion of their stamps (69% of food stamps recipients are women)
congress,97,Foreign Assistance Appropriations (FY82),yes,H.R.4559,Record Vote No: 356,338,0,,12/11/1981,199,166,"high military spending, low economic programs spending, ommitted funding for the UN Decade for Women Voluntary Fund"
congress,97,Voting Rights Act,yes,H.R.3112,Record Vote No: 242,228,0,,10/05/1981,389,24,continuation of provisions of the Voting Rights Act
senate,98,"Nuclear Freeze (Dept Limit Increase, FY 84)",no,motion to table S.Amdt.2476 to H.J.Res.308,Record Vote No: 327,,0,,,,,table an amendment that called for a freeze on (and reduction in) nuclear weapons
senate,98,Tuition Tax Credits,yes,motion to table S.Amdt.2617 to H.J.Res.290,Record Vote No: 365,,0,,,,,table an amendment that provided a tuition tax credit of 50% to private elementary and secondary schools
senate,98,"Clinch River Breeder Reactor (Supplemental Appropriations, FY 84)",yes,motion to table Committee amendment to H.R.3959,Record Vote No: 316,,0,,,,,table an amendment that gave an extra $1.5 to completing the Clinch River Breeder Reactor
senate,98,U.N. Funding (State Department Authorizations),no,S.Amdt.2201 to S.1342,Record Vote No: 266,,0,,,,,cut US contributions to UN and related orgs.
senate,98,"MX Missile (Defense Authorizations, FY 84)",yes,S.Amdt.2087 to S.675,Record Vote No: 218,,0,,,,,bar use of funds on MX Missile
senate,98,"Higher Military Spending (First Budget Resolution, FY 84)",no,S.Amdt.1242 to S.Con.Res.27,Record Vote No: 80,,0,,,,,real increase of 6.5% to defense spending
senate,98,"Emergency Jobs (Supplemental Appropriations, FY 84)",yes,H.R.1718,Record Vote No: 30,,0,,,,,emergency jobs and recession relief program
senate,98,"Education Spending (First Budget Resolution, FY 84",no,motion to table SP1237 to S.Con.Res.27,Record Vote No: 75,,0,,,,,table an amendment calling for an increase in education spending
senate,98,Social Security Act Amendment,yes,S.Amdt.520 to H.R.1900,Record Vote No: 35,,0,,,,,new disability retirement benefit
congress,98,Title IX (Guidelines for Equal Opportunity in Education),yes,H.Res.190,Record Vote No: 513,478,0,,11/16/1983,414,8,suspend rules to pass joint resolution on education equity
