congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,,children,n_children,n_daughter,Check
97,House,10588,43,7,FL,100,0,1,"GIBBONS, Sam Melville",G000153,1920,2012,-0.233,0.17,-304.39676,0.612,619,136,,-0.111,0.318,,"Clifford, Mark, and Timothy",3,0,
97,House,12007,43,4,FL,100,0,1,"CHAPPELL, William Venroe, Jr.",C000321,1922,1989,-0.098,0.916,-155.08081,0.746,529,76,,-0.08,0.825,,"Judith Jane Gadd, Deborah Kay Bond, William V., and Christopher Clyde",4,,
97,House,13047,43,6,FL,200,0,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013,0.325,-0.112,-202.86908,0.724,628,78,,0.258,0.055,,"Pamela Kay, Terry Lee, and Kimber;",3,,
97,House,14003,43,10,FL,200,0,1,"BAFALIS, Louis Arthur (Skip)",B000029,1929,,0.303,0.078,-105.51387,0.789,445,39,,0.256,0.26,,Renee Louise and Gregory,2,,
97,House,14029,43,13,FL,100,0,1,"LEHMAN, William",L000226,1913,2005,-0.483,-0.001,-123.78507,0.795,540,55,,-0.473,-0.027,,"William, Jr., Kathy (deceased), and Thomas;",3,,
97,House,14636,43,1,FL,100,0,1,"HUTTO, Earl Dewitt",H001018,1926,,-0.007,0.732,-165.12041,0.776,651,75,,-0.081,0.687,,Lori Keeffe and Amelia Ann,2,,
97,House,14648,43,11,FL,100,0,1,"MICA, Daniel Andrew",M000688,1944,,-0.184,0.363,-174.38829,0.765,651,77,,-0.156,0.332,,"Christine, Daniel, Caroline, and Paul",4,,
97,House,14651,43,9,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-202.29413,0.7336,653,94,,-0.125,0.453,,William III and Nan Ellen,2,,
97,House,14842,43,5,FL,200,0,1,"McCOLLUM, Ira William, Jr. (Bill)",M000350,1944,,0.377,-0.101,-187.37655,0.751,653,80,,0.346,-0.169,,Douglas and Justin,2,0,
97,House,14860,43,12,FL,200,0,1,"SHAW, Eugene Clay, Jr.",S000303,1939,2013,0.3,-0.142,-186.50606,0.758,672,72,,0.311,-0.084,,"Emilie W., Jennifer C., Clay, III, and John C.",4,,
97,House,94428,43,8,FL,100,0,1,"IRELAND, Andrew Poysell (Andy)",I000029,1930,,0.015,0.377,-176.16018,0.706,507,75,,0.088,0.395,,"Debbie Hodupp, Mimi, Drew, and Dutch;",4,,
97,House,11005,44,3,GA,100,0,1,"BRINKLEY, Jack Thomas",B000839,1930,,-0.073,0.701,-226.42735,0.715,674,98,,-0.12,0.509,,"Jack Thomas, Jr., and Fred Alen",2,,
97,House,14016,44,1,GA,100,0,1,"GINN, Ronald Bryan (Bo)",G000226,1934,2005,-0.217,0.849,-109.85971,0.786,457,42,,-0.195,0.726,,NA,NA,,
97,House,14249,44,4,GA,100,0,1,"LEVITAS, Elliott Harris",L000265,1930,,-0.056,0.075,-289.73328,0.64,649,151,,-0.056,0.032,,"Karen, Susan, and Kevin;",3,,
97,House,14252,44,7,GA,100,0,1,"McDONALD, Lawrence Patton",M000413,1935,1983,0.884,0.343,-161.14866,0.778,641,62,,0.918,0.231,,"Tryggvi Paul, Callie Grace, and Mary Elizabeth;",3,,
97,House,14404,44,10,GA,100,0,1,"BARNARD, Druie Douglas, Jr.",B000153,1922,,-0.028,0.639,-175.82956,0.747,604,85,,-0.025,0.838,,"Pamela, Lucy Irene Barnard, and D. Douglas Barnard III",,,
97,House,14418,44,8,GA,100,0,1,"EVANS, Billy Lee",E000233,1941,,-0.091,0.501,-230.38139,0.631,500,96,,-0.063,0.64,,"Christopher, William Corry, Paul Jason, and Autumn",4,,
97,House,14429,44,9,GA,100,0,1,"JENKINS, Edgar Lanier (Ed)",J000083,1933,2012,-0.116,0.678,-224.97926,0.697,624,106,,-0.065,0.664,,Jan and Amy,2,,
97,House,14467,44,5,GA,100,0,1,"FOWLER, Wyche, Jr.",F000329,1940,,-0.237,0.196,-201.13699,0.714,598,95,,-0.254,0.139,,NA,NA,,
97,House,14627,44,6,GA,200,0,1,"GINGRICH, Newton Leroy",G000225,1943,,0.377,-0.257,-231.25533,0.688,618,106,,0.275,-0.219,,Kathey and Jackie Sue;,2,2,
97,House,14831,44,2,GA,100,0,1,"HATCHER, Charles Floyd",H000340,1939,,-0.202,0.722,-155.16957,0.769,590,67,,-0.139,0.556,,NA,NA,,
97,House,14400,82,2,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-144.12777,0.799,643,64,,-0.457,0.569,,"Millannie, Daniel, Jr., Gerard, Alan, and Nicholas;",5,,
97,House,14425,82,1,HI,100,0,1,"HEFTEL, Cecil Landau",H000449,1924,2010,-0.269,0.243,-189.33681,0.718,571,79,,-0.26,0.246,,"Cathy, Lani, Peggy, Susan, Christopher, Terry, and Richard;",7,,
97,House,10734,63,2,ID,200,0,1,"HANSEN, George Vernon",H000171,1930,2014,0.621,0.339,-150.98199,0.794,654,65,,0.627,0.251,,"Steven George, James Vernon, Patricia Sue, William Dean, and Joanne;",5,,
97,House,14809,63,1,ID,200,0,1,"CRAIG, Larry Edwin",C000858,1945,,0.494,-0.014,-182.5576,0.75,636,81,,0.524,-0.044,,NA,NA,,
97,House,2525,21,4,IL,200,0,1,"DERWINSKI, Edward Joseph",D000269,1926,2012,0.342,-0.361,-280.59246,0.621,589,128,,0.436,-0.577,,Michael Stephen,1,1,
97,House,6455,21,18,IL,200,0,1,"MICHEL, Robert Henry",M000692,1923,,0.372,-0.157,-211.59686,0.716,634,96,,0.343,-0.096,,"Scott, Bruce, Laurie, and Robin;",4,,
97,House,7610,21,23,IL,100,0,1,"PRICE, Charles Melvin",P000522,1905,1988,-0.429,0.346,-174.50722,0.763,645,83,,-0.39,0.544,,William,1,0,
97,House,8080,21,8,IL,100,0,1,"ROSTENKOWSKI, Daniel David",R000458,1928,2010,-0.39,0.246,-165.68243,0.767,624,81,,-0.318,0.183,,NA,4,4,
97,House,10421,21,9,IL,100,0,1,"YATES, Sidney Richard",Y000013,1909,2000,-0.494,-0.494,-165.83788,0.754,586,73,,-0.434,-0.768,,Stephen,1,0,
97,House,10517,21,20,IL,200,0,1,"FINDLEY, Paul",F000123,1921,,0.246,-0.525,-253.01138,0.674,641,119,,0.17,-0.517,,Craig and Diane,2,,
97,House,10606,21,13,IL,200,0,1,"McCLORY, Robert",M000340,1908,1988,0.256,-0.426,-250.44663,0.669,623,111,,0.266,-0.27,,"Beatrice, Michael, and Oliver;",3,1,
97,House,10703,21,11,IL,100,0,1,"ANNUNZIO, Frank",A000212,1915,2001,-0.398,0.351,-147.95251,0.801,666,67,,-0.361,0.396,,NA,3,3,
97,House,10722,21,14,IL,200,0,1,"ERLENBORN, John Neal",E000204,1927,2005,0.315,-0.438,-241.5065,0.67,603,111,,0.319,-0.318,,"Debra, Paul, and David",3,,
97,House,11041,21,19,IL,200,0,1,"RAILSBACK, Thomas Fisher",R000012,1932,,0.103,-0.446,-180.29018,0.723,557,80,,0.086,-0.439,,"Kathryn, Margaret Ann, Julia, and Lisa.",4,4,
97,House,12041,21,12,IL,200,0,1,"CRANE, Philip Miller",C000873,1930,2014,0.739,0.023,-167.75467,0.762,616,73,,0.763,0.106,,"Catherine Anne, Susanna Marie, Jennifer Elizabeth, Rebekah Caroline, George Washington V, Rachel Ellen, Sarah Emma, and Carrie Esther;",8,7,
97,House,14033,21,21,IL,200,0,1,"MADIGAN, Edward Rell",M000041,1936,1994,0.247,-0.396,-217.77712,0.691,590,96,,0.267,-0.328,,"Kimberly, Kellie, and Mary",3,,
97,House,14041,21,17,IL,200,0,1,"O'BRIEN, George Miller",O000010,1917,1986,0.169,-0.132,-231.49634,0.671,581,111,,0.144,-0.163,,Caryl Isabel Bloch and Mary Deborah Treadwell,2,2,
97,House,14068,21,7,IL,100,0,1,"COLLINS, Cardiss",C000634,1931,2013,-0.552,-0.218,-117.16005,0.829,624,46,,-0.535,-0.37,,Kevin,1,0,
97,House,14239,21,6,IL,200,0,1,"HYDE, Henry John",H001022,1924,2007,0.312,-0.18,-224.26719,0.707,648,101,,0.259,-0.127,,"Henry, Jr., Robert, Anthony, and Laura",4,1,
97,House,14271,21,3,IL,100,0,1,"RUSSO, Martin Anthony",R000543,1944,,-0.192,-0.209,-284.202,0.638,633,121,,-0.182,-0.375,,Tony and Dan,2,,
97,House,14275,21,24,IL,100,0,1,"SIMON, Paul Martin",S000423,1928,2003,-0.397,-0.224,-164.39449,0.757,590,75,,-0.481,0.149,,Sheila and Martin,2,,
97,House,14285,21,5,IL,100,0,1,"FARY, John G.",F000040,1911,1984,-0.451,0.47,-144.07121,0.793,622,62,,-0.352,0.403,,James and Marian;,2,,
97,House,14411,21,15,IL,200,0,1,"CORCORAN, Thomas Joseph",C000773,1939,,0.319,-0.247,-180.26991,0.761,660,71,,0.325,-0.128,,"Camilla, Evan, Philip, Steven, and Monica;",5,,
97,House,14615,21,22,IL,200,0,1,"CRANE, Daniel Bever",C000871,1936,,0.744,0.048,-175.18364,0.758,633,76,,0.771,0.141,,"Nathan, Joshua, Kimberly, Elizabeth, Emily, and Heidi",6,,
97,House,14677,21,10,IL,200,0,1,"PORTER, John Edward",P000444,1935,,0.217,-0.604,-230.0755,0.703,653,96,,0.2,-0.498,,"John, David, Donna, Robin, and Ann;",5,,
97,House,14841,21,16,IL,200,0,1,"MARTIN, Lynn Morley",M000195,1939,,0.345,-0.67,-279.31961,0.648,644,135,,0.244,-0.491,,NA,NA,,
97,House,14856,21,2,IL,100,0,1,"SAVAGE, Gus",S000081,1925,2015,-0.671,-0.39,-89.90503,0.799,401,40,,-0.641,-0.71,,Thomas and Emma,2,,
97,House,14866,21,1,IL,100,0,1,"WASHINGTON, Harold",W000180,1922,1987,-0.488,-0.873,-125.98848,0.798,559,55,,-0.494,-0.858,,NA,NA,,
97,House,10732,22,9,IN,100,0,1,"HAMILTON, Lee Herbert",H000114,1931,,-0.171,-0.053,-218.58879,0.721,668,108,,-0.119,-0.103,,"Tracy Lynn, Deborah Lee, and Douglas",3,,
97,House,10742,22,11,IN,100,0,1,"JACOBS, Andrew, Jr.",J000033,1932,2013,-0.07,-0.846,-366.97318,0.559,631,200,,-0.097,-0.995,,,,,
97,House,11036,22,7,IN,200,0,1,"MYERS, John Thomas",M001130,1927,2015,0.236,0.254,-215.80826,0.723,666,89,,0.262,0.283,,Carol Ann and Lori Jan;,2,2,
97,House,13018,22,5,IN,200,0,1,"HILLIS, Elwood Haynes",H000624,1926,,0.173,-0.106,-205.02105,0.715,610,95,,0.21,0.166,,"Jeffrey H., Gary L., and Bradley R.;",3,0,
97,House,14220,22,6,IN,100,0,1,"EVANS, David Walter",E000239,1946,,-0.054,0.003,-274.27926,0.62,573,129,,-0.318,0.1,,Jennifer,1,,
97,House,14222,22,2,IN,100,0,1,"FITHIAN, Floyd James",F000161,1928,2003,-0.165,-0.061,-186.96395,0.706,536,89,,-0.221,-0.131,,"Cindy, Judy, and John",3,,
97,House,14274,22,10,IN,100,0,1,"SHARP, Philip Riley",S000294,1942,,-0.166,-0.283,-232.18108,0.705,665,117,,-0.121,-0.319,,,,,
97,House,14406,22,1,IN,100,1,1,"BENJAMIN, Adam, Jr.",B000363,1935,1982,-0.267,0.136,-155.37693,0.743,524,70,,-0.357,0.197,,"Adam III, Alison, and Arianne;",3,,
97,House,14619,22,8,IN,200,0,1,"DECKARD, Huey Joel",D000183,1942,2016,0.222,-0.493,-220.96916,0.682,578,96,,0.127,-0.462,,NA,NA,,
97,House,14806,22,4,IN,200,0,1,"COATS, Daniel Ray",C000542,1943,,0.375,-0.227,-212.3858,0.728,670,98,,0.379,-0.434,,"Laura, Lisa, and Andrew;",3,,
97,House,14834,22,3,IN,200,0,1,"HILER, John Patrick",H000586,1953,,0.413,-0.35,-194.73204,0.746,665,76,,0.452,-0.396,,NA,NA,,
97,House,14880,22,1,IN,100,2,2,"HALL, Katie Beatrice",H000058,1938,2012,-0.529,0.095,-17.95969,0.812,86,7,,-0.479,0.198,,,,,
97,House,8672,31,4,IA,100,0,1,"SMITH, Neal Edward",S000596,1920,,-0.313,0.174,-220.02203,0.716,659,105,,-0.259,-0.119,,,,,
